,ChatGPT-5,Gemini 3 Pro,Claude Sonnet 4.5,ChatGPT-5.2,Claude Sonnet 3.5,Gemini 2.5 Pro,DeepSeek-V3,ChatGPT-4,Claude Sonnet 4.6,DeepSeek-V3.2,Gemini 3.1 Pro,ChatGPT-5.4 Thinking,Grok 4.2,Llama 4,ChatGPT-5.4,Llama 3.3,Grok 4,Gemma 4,ChatGPT-5.5 Thinking,DeepSeek-V4
ChatGPT-5,1.0,0.6301306189273762,0.6000060844624802,0.6635854549709336,0.613103119597968,0.5054703465632252,0.3852469089085802,0.32497680156311776,0.5695796256188773,0.33085067222550096,0.3263179642076405,0.45233016832539685,0.46489541029770115,0.42262763508147905,0.5366713238428281,0.38903564982940675,0.6188875580141661,0.5304855640356557,0.3263179642076405,0.4082541908156524
Gemini 3 Pro,0.6301306189273762,1.0,0.6276189475311013,0.5125548290821458,0.5138013365023769,0.5125548290821458,0.47899675448618434,0.48582995951417,0.6075557732447394,0.27433064390551476,0.3852913373748363,0.710561305841663,0.5671401389785926,0.5337833799576862,0.7271944589175467,0.44116224383907887,0.8195481552000752,0.5863973894344879,0.3852913373748363,0.41976046217663276
Claude Sonnet 4.5,0.6000060844624802,0.6276189475311013,1.0,0.4020163000179591,0.5572393731536417,0.4020163000179591,0.24939057325029168,0.2958495142888542,0.577823282246357,0.24847099161636296,0.36838129478833836,0.5986093552465234,0.5380530137839364,0.44381970877079974,0.5173193965630035,0.18465704408797456,0.606706557601781,0.431598307275956,0.36838129478833836,0.3967317198838363
ChatGPT-5.2,0.6635854549709336,0.5125548290821458,0.4020163000179591,1.0,0.46827179065883306,0.35579710144927534,0.5808254730460761,0.24613819895895678,0.4861843133162521,0.3025410872018499,0.2500029456642769,0.4020163000179591,0.4515598201384659,0.3804506859028211,0.4747616921195428,0.41265469418735296,0.37905576370814287,0.4900830825529649,0.2500029456642769,0.2829715034854717
Claude Sonnet 3.5,0.613103119597968,0.5138013365023769,0.5572393731536417,0.46827179065883306,1.0,0.46827179065883306,0.4075368617090598,0.2953210806905403,0.46249793337325873,0.23837523387081103,0.4299446183400112,0.5572393731536417,0.4247119118280982,0.32696872900863644,0.5772086899346847,0.3446870005962214,0.4987231400185123,0.5374275987893715,0.30354886248542456,0.37296650827788647
Gemini 2.5 Pro,0.5054703465632252,0.5125548290821458,0.4020163000179591,0.35579710144927534,0.46827179065883306,1.0,0.14606220147327653,0.3349437423333531,0.4861843133162521,0.2445882695930491,0.5582590048813949,0.5739222599582986,0.30375544602097837,0.25511414346531586,0.5704676205309427,0.2910603875474601,0.4747616921195428,0.4242896877493428,0.4041309752728359,0.36409425956369945
DeepSeek-V3,0.3852469089085802,0.47899675448618434,0.24939057325029168,0.5808254730460761,0.4075368617090598,0.14606220147327653,1.0,0.3391517250155052,0.36605753731637364,0.4282763112468231,0.16244404302766074,0.3847435766810055,0.5058242039475187,0.5365554804162512,0.3904253213446727,0.4967889158314922,0.3904253213446727,0.5457725030060019,0.16244404302766074,0.3419990124408173
ChatGPT-4,0.32497680156311776,0.48582995951417,0.2958495142888542,0.24613819895895678,0.2953210806905403,0.3349437423333531,0.3391517250155052,1.0,0.458599048916396,0.33025358415591666,0.08783237174198395,0.4617342309099777,0.35319915585894535,0.41283692276834427,0.45013337006996146,0.3824945946583846,0.45013337006996146,0.3324418277697651,0.08783237174198395,0.2631978228332191
Claude Sonnet 4.6,0.5695796256188773,0.6075557732447394,0.577823282246357,0.4861843133162521,0.46249793337325873,0.4861843133162521,0.36605753731637364,0.458599048916396,1.0,0.3076925104842817,0.31450418332773916,0.5057372735574697,0.5680631165321586,0.45232875481714196,0.6775166096879138,0.3151659003041653,0.5169856219446954,0.45098902150666353,0.31450418332773916,0.2539261099118857
DeepSeek-V3.2,0.33085067222550096,0.27433064390551476,0.24847099161636296,0.3025410872018499,0.23837523387081103,0.2445882695930491,0.4282763112468231,0.33025358415591666,0.3076925104842817,1.0,0.07183823941195369,0.35672421952469263,0.45145472125714303,0.4828863498990199,0.3336110029671688,0.39400799356863253,0.2733427278934413,0.2691426006109058,0.07183823941195369,0.253413324710298
Gemini 3.1 Pro,0.3263179642076405,0.3852913373748363,0.36838129478833836,0.2500029456642769,0.4299446183400112,0.5582590048813949,0.16244404302766074,0.08783237174198395,0.31450418332773916,0.07183823941195369,1.0,0.5123333699825506,0.16957421302297565,0.10743464113389843,0.5856121679356519,0.09460596568860843,0.42532607886705753,0.23686353886438585,0.741869918699187,0.47498395351586453
ChatGPT-5.4 Thinking,0.45233016832539685,0.710561305841663,0.5986093552465234,0.4020163000179591,0.5572393731536417,0.5739222599582986,0.3847435766810055,0.4617342309099777,0.5057372735574697,0.35672421952469263,0.5123333699825506,1.0,0.4690300514096335,0.38528896836177423,0.785480879679336,0.2982233617595134,0.606706557601781,0.5544973768365982,0.36838129478833836,0.5482653392078881
Grok 4.2,0.46489541029770115,0.5671401389785926,0.5380530137839364,0.4515598201384659,0.4247119118280982,0.30375544602097837,0.5058242039475187,0.35319915585894535,0.5680631165321586,0.45145472125714303,0.16957421302297565,0.4690300514096335,1.0,0.7104883145492571,0.5585595443090344,0.42209919183566286,0.48170465576380433,0.5150292278821296,0.16957421302297565,0.35701040375738047
Llama 4,0.42262763508147905,0.5337833799576862,0.44381970877079974,0.3804506859028211,0.32696872900863644,0.25511414346531586,0.5365554804162512,0.41283692276834427,0.45232875481714196,0.4828863498990199,0.10743464113389843,0.38528896836177423,0.7104883145492571,1.0,0.41155944003685907,0.4430187021833018,0.4767315708157632,0.466372688595144,0.10743464113389843,0.28142737284196984
ChatGPT-5.4,0.5366713238428281,0.7271944589175467,0.5173193965630035,0.4747616921195428,0.5772086899346847,0.5704676205309427,0.3904253213446727,0.45013337006996146,0.6775166096879138,0.3336110029671688,0.5856121679356519,0.785480879679336,0.5585595443090344,0.41155944003685907,1.0,0.31961618110015605,0.6018808777429467,0.45578826960384133,0.42532607886705753,0.47363382671368615
Llama 3.3,0.38903564982940675,0.44116224383907887,0.18465704408797456,0.41265469418735296,0.3446870005962214,0.2910603875474601,0.4967889158314922,0.3824945946583846,0.3151659003041653,0.39400799356863253,0.09460596568860843,0.2982233617595134,0.42209919183566286,0.4430187021833018,0.31961618110015605,1.0,0.3828424349938006,0.46819123876161006,0.1964276406246531,0.19917718269918053
Grok 4,0.6188875580141661,0.8195481552000752,0.606706557601781,0.37905576370814287,0.4987231400185123,0.4747616921195428,0.3904253213446727,0.45013337006996146,0.5169856219446954,0.2733427278934413,0.42532607886705753,0.606706557601781,0.48170465576380433,0.4767315708157632,0.6018808777429467,0.3828424349938006,1.0,0.5242103857264038,0.42532607886705753,0.5579977762124774
Gemma 4,0.5304855640356557,0.5863973894344879,0.431598307275956,0.4900830825529649,0.5374275987893715,0.4242896877493428,0.5457725030060019,0.3324418277697651,0.45098902150666353,0.2691426006109058,0.23686353886438585,0.5544973768365982,0.5150292278821296,0.466372688595144,0.45578826960384133,0.46819123876161006,0.5242103857264038,1.0,0.23686353886438585,0.4406806187490827
ChatGPT-5.5 Thinking,0.3263179642076405,0.3852913373748363,0.36838129478833836,0.2500029456642769,0.30354886248542456,0.4041309752728359,0.16244404302766074,0.08783237174198395,0.31450418332773916,0.07183823941195369,0.741869918699187,0.36838129478833836,0.16957421302297565,0.10743464113389843,0.42532607886705753,0.1964276406246531,0.42532607886705753,0.23686353886438585,1.0,0.33912142627146186
DeepSeek-V4,0.4082541908156524,0.41976046217663276,0.3967317198838363,0.2829715034854717,0.37296650827788647,0.36409425956369945,0.3419990124408173,0.2631978228332191,0.2539261099118857,0.253413324710298,0.47498395351586453,0.5482653392078881,0.35701040375738047,0.28142737284196984,0.47363382671368615,0.19917718269918053,0.5579977762124774,0.4406806187490827,0.33912142627146186,1.0
