Number,Models Failed,Main_Domain,Subdomain,Complexity,Risk
59,20,Gastroenterology,Malabsorption,Moderate,Medium
110,18,Endocrinology,TPO Deficiency,Moderate,High
126,17,Nephrology,CNS Finnish,Moderate,Medium
8,15,Cardiology,Cyanotic CHD (Tricuspid),High,Critical
85,15,Pulmonology,Pulm Hypoplasia,Moderate,High
15,14,Hematology,Hyperbilirubinemia,Moderate,High
84,14,Cardiology,Hydrops Fetalis,Moderate,High
30,13,Pulm / Surgery,Resp. Distress (Diff Dx),High,High
71,13,Ophthalmology,ROP Risks,Moderate,High
88,12,Neurology,Acute Bili Enceph.,Moderate,High
41,11,Metabolism,Urea Cycle (OTC),Moderate,High
96,11,Ventilation,PaCO2 Adjustment,High,High
74,10,Neurology,Sarnat Stage II,Moderate,High
95,10,Perinatology,Polyhydramnios,Low,Low
