Main Domain,Count
Cardiology,17
Infectious Dis.,15
Gastroenterology,10
Neurology,10
Hematology,9
Genetics,9
Endocrinology,8
Metabolism,8
Nephrology,6
Pulmonology,5
Perinatology,3
Pharmacology,3
Physiology,2
Assessment,2
Rheumatology,2
Nutrition,2
Social / Abuse,2
Dermatology,1
Adverse Exposures to the Fetus,1
Perinatal Transition and Newborn Resuscitation,1
Pulm / Surgery,1
Surgery,1
"Fluid, Electrolytes, and Acid-Base Homeostasis",1
Neurology/Infectious Disease,1
Toxicology/Perinatology,1
Terminology,1
Development,1
Ophthalmology,1
Ventilation,1
Pernatalogy/Hematology,1
Hematology/Neurology,1
