Domain_Grouped,Claude Sonnet 4.5,Claude Sonnet 4.6,Claude Sonnet 3.5,DeepSeek-V4,DeepSeek-V3,DeepSeek-V3.2,Gemini 3.1 Pro,Gemini 2.5 Pro,Gemini 3 Pro,Gemma 4,Llama 4,Llama 3.3,ChatGPT-5.5 Thinking,ChatGPT-5.4,ChatGPT-5.2,ChatGPT-4,ChatGPT-5.4 Thinking,ChatGPT-5,Grok 4,Grok 4.2
Other,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.2916666666666667,0.041666666666666664,0.125,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.125,0.125,0.08333333333333333,0.20833333333333334
Cardiology,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.11764705882352941
Infectious Dis.,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667
Gastroenterology,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Neurology,0.1,0.2,0.2,0.1,0.2,0.3,0.0,0.3,0.2,0.5,0.3,0.4,0.0,0.0,0.3,0.2,0.1,0.3,0.2,0.1
Hematology,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
Genetics,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Endocrinology,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.375,0.5,0.25,0.125,0.125,0.0,0.125,0.125,0.125,0.125
Metabolism,0.125,0.25,0.0,0.0,0.125,0.5,0.0,0.0,0.125,0.125,0.25,0.25,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.125
Nephrology,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
Pulmonology,0.2,0.4,0.2,0.0,0.4,0.4,0.0,0.2,0.2,0.4,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.4
Perinatology,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Pharmacology,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
