term,coef_log_odds,se,z,p_value,ci_low_logodds,ci_high_logodds,odds_ratio,ci_low,ci_high,aOR_95_CI
Intercept,-2.5139813100393287,0.5609857872728543,-4.481363640709438,7.416761422782742e-06,-3.613493248932971,-1.414469371145686,0.080945328414714,0.02695751289310343,0.24305455099465606,"[0.03, 0.24]"
"C(Knowledge, Treatment(reference='Factual'))[T.Conceptual]",0.3565820264314033,0.6048422183607265,0.5895455303993654,0.5554953787670162,-0.8288869378849317,1.5420509907477382,1.4284386954419555,0.4365349064750037,4.674167120133272,"[0.44, 4.67]"
"C(Knowledge, Treatment(reference='Factual'))[T.Metacognitive]",-0.6470674611778465,0.5320369847719653,-1.2162076692002608,0.22390582296456252,-1.6898407897741836,0.3957058674184907,0.5235789432046258,0.1845489037267867,1.4854323392411624,"[0.18, 1.49]"
"C(Knowledge, Treatment(reference='Factual'))[T.Procedural]",0.2046441976622589,0.750042675779447,0.27284340514303657,0.7849735924505357,-1.2654124337335102,1.6747008290580279,1.2270883863656676,0.2821229151352488,5.337198175595373,"[0.28, 5.34]"
"C(Cognitive, Treatment(reference='Remember'))[T.Analyze]",-1.2727377440402503,0.7848459503305546,-1.621640200225547,0.10488040981346515,-2.8110075401002494,0.26553205201974883,0.28006382817029607,0.06014436399620204,1.304124653381556,"[0.06, 1.30]"
"C(Cognitive, Treatment(reference='Remember'))[T.Apply]",-1.7840025737351335,0.910471359978078,-1.959427448413191,0.05006274876701709,-3.5684936482473693,0.0004885007771022742,0.16796450969097365,0.02819829826004588,1.000488620113038,"[0.03, 1.00]"
"C(Cognitive, Treatment(reference='Remember'))[T.Evaluate]",-0.6470674611778462,0.532036984771964,-1.216207669200263,0.22390582296456152,-1.689840789774181,0.39570586741848857,0.523578943204626,0.18454890372678717,1.4854323392411592,"[0.18, 1.49]"
"C(Cognitive, Treatment(reference='Remember'))[T.Understand]",-0.7344419640772106,0.5154506156248998,-1.4248541796517589,0.1541993570363598,-1.744706606511013,0.2758226783565918,0.4797731149200461,0.17469623618689065,1.3176142017955896,"[0.17, 1.32]"
"C(Complexity, Treatment(reference='Low'))[T.High]",2.193384056536209,0.9466884684503873,2.3169016309309325,0.020509090912280915,0.3379087537940666,4.048859359278351,8.965501601112276,1.4020125692410417,57.33202449323218,"[1.40, 57.33]"
"C(Complexity, Treatment(reference='Low'))[T.Moderate]",1.6979581004766922,0.529196353102976,3.2085597161065236,0.0013340160321161445,0.660752307644918,2.7351638933084663,5.462781544805703,1.9362484411179623,15.412269196735647,"[1.94, 15.41]"
"C(Risk, Treatment(reference='Low'))[T.Critical]",-0.2367222554881426,1.0235331081971184,-0.23127952930131612,0.8170976488566021,-2.242810284538833,1.7693657735625479,0.789210456452766,0.10615974568546303,5.86713109147617,"[0.11, 5.87]"
"C(Risk, Treatment(reference='Low'))[T.High]",-0.051559659481261025,0.6426032944554263,-0.08023559780370441,0.936049878463548,-1.311038972960684,1.2079196539981618,0.9497469868594054,0.269539866222059,3.346515495802004,"[0.27, 3.35]"
"C(Risk, Treatment(reference='Low'))[T.Medium]",-0.3358221699841876,0.6187532645999841,-0.5427400374223355,0.5873088036145804,-1.548556283916739,0.8769119439483637,0.7147501985543814,0.21255462094262034,2.4034661964438664,"[0.21, 2.40]"
"C(Difficulty, Treatment(reference='Low'))[T.Hard]",0.11664602043362901,0.8649986801053499,0.13485109644262402,0.8927296056448779,-1.5787202392475401,1.8120122801147982,1.1237215848009008,0.2062388657952555,6.122755743823032,"[0.21, 6.12]"
"C(Difficulty, Treatment(reference='Low'))[T.Medium]",0.34369703361822757,0.5880683229296465,0.584450854121836,0.5589170210209343,-0.8088956997727496,1.4962897670092046,1.410151342333275,0.4453495944339722,4.465091768662557,"[0.45, 4.47]"
"C(Task, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.2_Epidemiology_and_Risk_Assessment]",0.011846920813128289,0.5068681584739878,0.023372785634819603,0.9813529129916849,-0.9815964147060284,1.005290256332285,1.011917373520503,0.37471242468712285,2.7327003413020856,"[0.37, 2.73]"
"C(Task, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.3_Diagnosis]",-0.4371446897410511,0.8342099899366516,-0.5240223624920232,0.6002629861425668,-2.072166225560409,1.197876846078307,0.6458779727329063,0.12591273069116693,3.3130752813609927,"[0.13, 3.31]"
"C(Task, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.4_Management_and_Treatment]",-0.21318394953424696,0.6493410149110416,-0.32830815340295844,0.7426786800135335,-1.4858689524445745,1.0595010533760807,0.808007490943574,0.22630560640257938,2.8849312034254964,"[0.23, 2.88]"
