Model,Error_Rate,n_questions,Error_Rate_Percent
ChatGPT-5.5 Thinking,0.031496062992125984,123,3.149606299212598
Gemini 3.1 Pro,0.031496062992125984,123,3.149606299212598
ChatGPT-5.4,0.08661417322834646,116,8.661417322834646
Grok 4,0.08661417322834646,116,8.661417322834646
ChatGPT-5.2,0.09448818897637795,115,9.448818897637794
Gemini 2.5 Pro,0.09448818897637795,115,9.448818897637794
ChatGPT-4,0.10236220472440945,114,10.236220472440944
Gemini 3 Pro,0.10236220472440945,114,10.236220472440944
ChatGPT-5.4 Thinking,0.11023622047244094,113,11.023622047244094
Claude Sonnet 4.5,0.11023622047244094,113,11.023622047244094
DeepSeek-V4,0.12598425196850394,111,12.598425196850393
ChatGPT-5,0.13385826771653545,110,13.385826771653544
Claude Sonnet 4.6,0.14173228346456693,109,14.173228346456693
Claude Sonnet 3.5,0.14960629921259844,108,14.960629921259844
Grok 4.2,0.15748031496062992,107,15.748031496062993
DeepSeek-V3,0.16535433070866143,106,16.535433070866144
Gemma 4,0.2125984251968504,100,21.25984251968504
Llama 4,0.2440944881889764,96,24.409448818897637
Llama 3.3,0.2677165354330709,93,26.77165354330709
DeepSeek-V3.2,0.31496062992125984,87,31.496062992125985
