Main Guideline,Count,Guideline Group,Percent,group_rank
AAP Guidelines,40,AAP/American Academy,31.496062992125985,0
AHA/PALS/Cardiology,20,AHA/PALS/Cardiology,15.748031496062993,1
CDC/Red Book,13,CDC/Red Book/Infectious,10.236220472440944,2
ACMG/Genetics,6,Genetics/Genomics,4.724409448818897,3
Metabolism Manual,6,Endocrine/Metabolic,4.724409448818897,4
ESPE Guidelines,2,Endocrine/Metabolic,1.5748031496062993,4
Ballard Original,2,Perinatal/Obstetric,1.5748031496062993,5
SMFM Guidelines,2,Perinatal/Obstetric,1.5748031496062993,5
ACOG / SMFM,1,Perinatal/Obstetric,0.7874015748031497,5
SMFM,1,Perinatal/Obstetric,0.7874015748031497,5
IPNA Guidelines,2,Renal/Heme/Specialty Society,1.5748031496062993,6
ISTH Guidelines,2,Renal/Heme/Specialty Society,1.5748031496062993,6
Pediatric Surgery,2,Renal/Heme/Specialty Society,1.5748031496062993,6
KDIGO / IPNA,1,Renal/Heme/Specialty Society,0.7874015748031497,6
Basic Science,3,Basic Science,2.3622047244094486,7
ILCOR Protocols,1,Institutional/Local,0.7874015748031497,8
NNP Protocols,1,Institutional/Local,0.7874015748031497,8
Neuro Protocols,1,Institutional/Local,0.7874015748031497,8
Vent Protocols,1,Institutional/Local,0.7874015748031497,8
GI Consensus,2,Other/Unspecified,1.5748031496062993,9
ACR Guidelines,1,Other/Unspecified,0.7874015748031497,9
Bell's Criteria,1,Other/Unspecified,0.7874015748031497,9
CDH Euro Cons.,1,Other/Unspecified,0.7874015748031497,9
CF Foundation,1,Other/Unspecified,0.7874015748031497,9
ESPU Urology,1,Other/Unspecified,0.7874015748031497,9
Endocrine Society,1,Other/Unspecified,0.7874015748031497,9
GI Guidelines,1,Other/Unspecified,0.7874015748031497,9
Hepatology Cons.,1,Other/Unspecified,0.7874015748031497,9
KDIGO,1,Other/Unspecified,0.7874015748031497,9
Micromedex,1,Other/Unspecified,0.7874015748031497,9
NRP (8th Ed),1,Other/Unspecified,0.7874015748031497,9
Neuro Consensus,1,Other/Unspecified,0.7874015748031497,9
PES / Endocrine,1,Other/Unspecified,0.7874015748031497,9
PES Guidelines,1,Other/Unspecified,0.7874015748031497,9
Papile Criteria,1,Other/Unspecified,0.7874015748031497,9
Sarnat / ILCOR,1,Other/Unspecified,0.7874015748031497,9
Sarnat Criteria,1,Other/Unspecified,0.7874015748031497,9
WHO Guidelines,1,Other/Unspecified,0.7874015748031497,9
