term,coef_log_odds,se,p_value,odds_ratio,ci_low,ci_high,is_intercept
Intercept,-2.455158903272812,0.4543374653689518,6.523559375982464e-08,0.0858495525823733,0.035236939275266735,0.20915964411718577,True
"C(Cognitive_Process, Treatment(reference='Remember'))[T.Analyze]",-0.9034609755378937,0.7476909939962326,0.22691854491762864,0.40516496430421994,0.09358030598590975,1.7542008072121176,False
"C(Cognitive_Process, Treatment(reference='Remember'))[T.Apply]",-1.5492250743700817,0.7158601981036657,0.030453243614440195,0.21241251396651137,0.052218885274580934,0.8640375192293968,False
"C(Cognitive_Process, Treatment(reference='Remember'))[T.Evaluate]",-1.3752350416382448,0.9889662721113052,0.16435333913119798,0.2527801749553958,0.03638462677210446,1.7561762348341579,False
"C(Cognitive_Process, Treatment(reference='Remember'))[T.Understand]",-0.3611133109828611,0.5666320351444174,0.5239309278662213,0.6969000275657427,0.22953216659079934,2.1159110534906644,False
"C(Reasoning_Complexity, Treatment(reference='Low'))[T.High]",2.0262160808328615,0.743150270819732,0.006400555041442034,7.585329712191414,1.7676333297410016,32.55043106201464,False
"C(Reasoning_Complexity, Treatment(reference='Low'))[T.Moderate]",1.6980724559806821,0.4828911919434748,0.0004373258516618148,5.4634062796627,2.1204020560255628,14.076956816673633,False
"C(Universal_Task_Category, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.2_Epidemiology_and_Risk_Assessment]",0.12074432051906146,0.48040995456125735,0.8015543375291263,1.128336383022664,0.44005340236591806,2.8931556633983475,False
"C(Universal_Task_Category, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.3_Diagnosis]",-0.3679524577280392,0.7095720565675422,0.6040707820884444,0.6921500872942085,0.1722663094861318,2.7809949883436023,False
"C(Universal_Task_Category, Treatment(reference='1_Physiology_and_Pathophysiology'))[T.4_Management_and_Treatment]",-0.09985390255603824,0.5462465178422645,0.8549548924534345,0.9049696221270404,0.3102127031712175,2.640027338018905,False
