Model,Dim1,Dim2,Family,Accuracy
ChatGPT-5,0.011133611372875891,-0.03642097205331238,OpenAI,86.5079365079365
Gemini 3 Pro,0.013340453174545113,0.08848639850164519,Google,89.68253968253968
Claude Sonnet 4.5,0.12082268352271457,0.1914494503340693,Anthropic,88.88888888888889
ChatGPT-5.2,-0.10589075614478989,-0.22562368695341736,OpenAI,90.47619047619048
Claude Sonnet 3.5,0.09062126033987729,-0.05752923258298558,Anthropic,84.92063492063492
Gemini 2.5 Pro,0.24979343268212698,0.08964130991145085,Google,90.47619047619048
DeepSeek-V3,-0.3080665463503109,-0.26767794029805475,DeepSeek,83.33333333333334
ChatGPT-4,-0.21362912941364703,0.28721090223883305,OpenAI,89.68253968253968
Claude Sonnet 4.6,-0.015356461132426443,0.18499975981613356,Anthropic,85.71428571428572
DeepSeek-V3.2,-0.33450741295695907,-0.021794874964264077,DeepSeek,68.25396825396825
Gemini 3.1 Pro,0.5191698707841507,-0.11109474893289424,Google,96.82539682539682
ChatGPT-5.4 Thinking,0.1221385663126769,0.12016268391492874,OpenAI,88.88888888888889
Grok 4.2,-0.23722556478968787,0.07817994870005003,xAI,84.12698412698413
Llama 4,-0.33700006644559644,0.0837864627620937,Meta,75.39682539682539
ChatGPT-5.4,0.12849472311212623,0.10087028990814868,OpenAI,91.26984126984127
Llama 3.3,-0.2983902307056381,-0.21934601466100523,Meta,73.01587301587303
Grok 4,0.08318683985537484,0.08504815461494693,xAI,91.26984126984127
Gemma 4,-0.10128225739603386,-0.10449017953442666,Google,78.57142857142857
ChatGPT-5.5 Thinking,0.4411541477261762,-0.1899650630099125,OpenAI,96.82539682539682
DeepSeek-V4,0.17149283645244462,-0.07589264771202762,DeepSeek,87.3015873015873
